"facility","facility_uid","subcounty","subcounty_uid","municipality","municipality_uid","district","district_uid","region","region_uid"
"Division A Field Survey Station 007","HF4h4LLuAxr","Division A","RTxq0C3ff1y","Entebbe Municipality","RJVE5pzKeh5","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Division A Field Survey Station 008","yApOnywci25","Division A","RTxq0C3ff1y","Entebbe Municipality","RJVE5pzKeh5","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Division A Field Survey Station 009","s1VmGXPPQg5","Division A","RTxq0C3ff1y","Entebbe Municipality","RJVE5pzKeh5","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kalamba Subcounty Field Survey Station 001","E1TxjBqAvWB","Kalamba Subcounty","lBaXWVG0uKY","Butambala DLG","nos0fEDZQPb","Butambala District","a3LMKP8z8Xj","South Buganda","IEU0FjDAhBP"
"Wakiso Subcounty Field Survey Station 012","VCwniB3nDWm","Wakiso Subcounty","UjUroihV9AC","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bunamwaya Division Field Survey Station 009","aoFgQb4jPdF","Bunamwaya Division","aQbUr8vlhmm","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kalangala Town Council Field Survey Station 001","ftESLIYkdJi","Kalangala Town Council","vswvzxAfCHh","Kalangala DLG","hkw7cymppi6","Kalangala District","JrHILmtK0OU","South Buganda","IEU0FjDAhBP"
"Butenga Town Council Field Survey Station 004","VOB2uTrIMvs","Butenga Town Council","WfABF9GAZx6","Bukomansimbi DLG","LDgCc0TvQk9","Bukomansimbi District","Ame30QOwuX6","South Buganda","IEU0FjDAhBP"
"Bunamwaya Division Field Survey Station 010","xyorcphmWmR","Bunamwaya Division","aQbUr8vlhmm","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 017","MERzfNQszzj","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kyengera Town Council Field Survey Station 007","soboZQtNvkO","Kyengera Town Council","z9UtbSArut7","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Mende Subcounty Field Survey Station 003","tdbMP9y1wyF","Mende Subcounty","gAYBU4aipnZ","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nabweru Division Field Survey Station 010","zGDu7T0C7e9","Nabweru Division","Qplf7b6Ktzu","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kasangati Town Council Field Survey Station 007","BVulRfStvvn","Kasangati Town Council","oyIJV2TSFLe","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 018","pTyAADC0eir","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 011","qz33RgYgkLa","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kasangati Town Council Field Survey Station 008","ezZNOr0FvGV","Kasangati Town Council","oyIJV2TSFLe","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kayabwe Town Council Field Survey Station AF64XP","af64XPHH1TF","Kayabwe Town Council","CfctafkWEHW","Mpigi DLG","cloKnT9R95J","Mpigi District","YMMexeHFUay","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 012","aT0kHRzB9Co","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nabweru Division Field Survey Station 011","qFakUoaVUWg","Nabweru Division","Qplf7b6Ktzu","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 019","p4QSmjklO4k","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 013","cmznNw9rCGc","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Katabi Town Council Field Survey Station 005","wSSXVxZnbkJ","Katabi Town Council","nLs3FmRSZhO","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kiringente Subcounty Field Survey Station 001","VFy5xbPCzU3","Kiringente Subcounty","JN43iMJuuu0","Mpigi DLG","cloKnT9R95J","Mpigi District","YMMexeHFUay","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 020","GFG7FQ0abTx","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kakiri Town Council Field Survey Station 001","K56hypi6AUE","Kakiri Town Council","AMGnRJ8vefc","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kyengera Town Council Field Survey Station 008","meezZf7AkPu","Kyengera Town Council","z9UtbSArut7","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Gombe Division Field Survey Station 006","ClxNXxYnfbf","Gombe Division","awd0xy7yb1C","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bweyogerere Division Field Survey Station 013","KQq08wg4OMm","Bweyogerere Division","RQ4bTHOso6m","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 021","hylgPKKAwNi","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 011","X9zYo7WGyOG","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 022","HpUGo6SQJIS","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kyotera Town Council Field Survey Station 002","xE6g319LYX8","Kyotera Town Council","l01FDO0PtI0","Kyotera DLG","xrMRirMjpsq","Kyotera District","REJuxCmTwXG","South Buganda","IEU0FjDAhBP"
"Katabi Town Council Field Survey Station 006","ziwVP5vDQgG","Katabi Town Council","nLs3FmRSZhO","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nabweru Division Field Survey Station 012","FjAgQM43MpO","Nabweru Division","Qplf7b6Ktzu","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 012","TquhVTQP7DF","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 023","hsdeu6TtZyH","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kasangati Town Council Field Survey Station 009","sEohWjhJWMI","Kasangati Town Council","oyIJV2TSFLe","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kasaali Town Council Field Survey Station 002","ZFJ3R3ApEeC","Kasaali Town Council","Pw1S7C7oSlb","Kyotera DLG","xrMRirMjpsq","Kyotera District","REJuxCmTwXG","South Buganda","IEU0FjDAhBP"
"Mutukula Town Council Field Survey Station C2UYY5","C2Uyy5GuoCk","Mutukula Town Council","GL2jnbw4B8R","Kyotera DLG","xrMRirMjpsq","Kyotera District","REJuxCmTwXG","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 024","za6c5EEAU5q","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bunamwaya Division Field Survey Station 011","Ze1t4Y8t4TK","Bunamwaya Division","aQbUr8vlhmm","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nyendo-Mukungwe Division Field Survey Station 006","OYrBAEyeeXR","Nyendo-Mukungwe Division","GohrmmbKC1I","Masaka City Council","bpHKNqEjSlI","Masaka City","KJkbK1YhjFb","South Buganda","IEU0FjDAhBP"
"Kyengera Town Council Field Survey Station 009","Rs9KsjpvI2p","Kyengera Town Council","z9UtbSArut7","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 025","ZvoDqPb3GBA","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Wakiso Subcounty Field Survey Station 013","r8bqaOn7bDb","Wakiso Subcounty","UjUroihV9AC","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 014","qGOfTrxD1Ds","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kammengo Subcounty Field Survey Station 004","SzVYBCcGiM7","Kammengo Subcounty","a8kpQiPpYy0","Mpigi DLG","cloKnT9R95J","Mpigi District","YMMexeHFUay","South Buganda","IEU0FjDAhBP"
"Nkozi Subcounty Field Survey Station 002","NHQdOv9RFcN","Nkozi Subcounty","o2AmXGnxfGy","Mpigi DLG","cloKnT9R95J","Mpigi District","YMMexeHFUay","South Buganda","IEU0FjDAhBP"
"Bweyogerere Division Field Survey Station 014","aC6BO225r29","Bweyogerere Division","RQ4bTHOso6m","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Wakiso Subcounty Field Survey Station 014","x92MQf0pXXy","Wakiso Subcounty","UjUroihV9AC","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 013","xkP5a32zch1","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 014","UCnkQuXLYIr","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 026","iLJNBF80xLv","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 015","riDbwBZ44tV","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kyengera Town Council Field Survey Station 010","mkQ4Pdf5uDd","Kyengera Town Council","z9UtbSArut7","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bunamwaya Division Field Survey Station 012","mLd8XeNTMKU","Bunamwaya Division","aQbUr8vlhmm","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kabira Subcounty Field Survey Station FFSZCN","ffszCn06KDS","Kabira Subcounty","aSNralWoVvR","Kyotera DLG","xrMRirMjpsq","Kyotera District","REJuxCmTwXG","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 027","gCf6ujkxSnd","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 028","LhLbewziG2f","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kasagama Subcounty Field Survey Station 002","UpsMHd05IVC","Kasagama Subcounty","UScOSjCwMK5","Lyantonde DLG","M98eBeKnZPU","Lyantonde District","aPRNSGUR3vk","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 015","TV4m5ykT0G0","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kyengera Town Council Field Survey Station 011","Whlo3VP1ViK","Kyengera Town Council","z9UtbSArut7","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kammengo Subcounty Field Survey Station 005","HsN63X4XXwr","Kammengo Subcounty","a8kpQiPpYy0","Mpigi DLG","cloKnT9R95J","Mpigi District","YMMexeHFUay","South Buganda","IEU0FjDAhBP"
"Kanoni Town Council Field Survey Station 002","OURnUcdYWIA","Kanoni Town Council","O55NSHMG3SN","Gomba DLG","JYRXNoypFT7","Gomba District","lQj3yMM1lI7","South Buganda","IEU0FjDAhBP"
"Gombe Division Field Survey Station 007","OdisbvWKxC8","Gombe Division","awd0xy7yb1C","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Gombe Town Council Field Survey Station 001","xuCJ8NBomxP","Gombe Town Council","McggXNT9Zyg","Butambala DLG","nos0fEDZQPb","Butambala District","a3LMKP8z8Xj","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 016","YneHreQZJVV","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Division A Field Survey Station 010","a9CJLWAKwVY","Division A","RTxq0C3ff1y","Entebbe Municipality","RJVE5pzKeh5","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kasaali Town Council Field Survey Station 003","TjXmalqlISc","Kasaali Town Council","Pw1S7C7oSlb","Kyotera DLG","xrMRirMjpsq","Kyotera District","REJuxCmTwXG","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 016","IVEcKopiyCP","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Division B Field Survey Station 005","bRcXa26c4de","Division B","o1TE46Mk0lW","Entebbe Municipality","RJVE5pzKeh5","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 017","gZDTquB7ETt","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 029","HYSUuIkabEF","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Lyantonde Town Council Field Survey Station 004","EFkeFVpHY58","Lyantonde Town Council","BSIgbcTVHu7","Lyantonde DLG","M98eBeKnZPU","Lyantonde District","aPRNSGUR3vk","South Buganda","IEU0FjDAhBP"
"Nyendo-Mukungwe Division Field Survey Station 007","i3T2aUtWzf1","Nyendo-Mukungwe Division","GohrmmbKC1I","Masaka City Council","bpHKNqEjSlI","Masaka City","KJkbK1YhjFb","South Buganda","IEU0FjDAhBP"
"Ndejje Division Field Survey Station 005","MQcEeQxu6CM","Ndejje Division","WcTXblqtAB7","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nabweru Division Field Survey Station 013","aVhCsDupB9X","Nabweru Division","Qplf7b6Ktzu","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bweyogerere Division Field Survey Station 015","DUF2Qd4Evfh","Bweyogerere Division","RQ4bTHOso6m","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Sembabule Town Council Field Survey Station 002","C2ZIDlhNqLg","Sembabule Town Council","M9l386COmzm","Sembabule DLG","NEm2DhjbKUf","Sembabule District","j7AQsnEYmvi","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 017","NtBs2IfYztR","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 030","ukQgL4w1YFj","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Katabi Town Council Field Survey Station 007","ygo2bleeQct","Katabi Town Council","nLs3FmRSZhO","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kyebe Subcounty Field Survey Station 001","hhlAmkWLbR2","Kyebe Subcounty","a0WerFS0RsJ","Kyotera DLG","xrMRirMjpsq","Kyotera District","REJuxCmTwXG","South Buganda","IEU0FjDAhBP"
"Kasangati Town Council Field Survey Station 010","WY7fmUfJ48g","Kasangati Town Council","oyIJV2TSFLe","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bweyogerere Division Field Survey Station 016","cnqo6cGpZRd","Bweyogerere Division","RQ4bTHOso6m","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 031","URQ1AXcEsSP","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bweyogerere Division Field Survey Station 017","WmCSdgvSjcT","Bweyogerere Division","RQ4bTHOso6m","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bunamwaya Division Field Survey Station 013","P2Bs3mTcqHT","Bunamwaya Division","aQbUr8vlhmm","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bweyogerere Division Field Survey Station 018","yTm8tdsMtss","Bweyogerere Division","RQ4bTHOso6m","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kyalulangira Subcounty Field Survey Station 001","od8CeDGX0qw","Kyalulangira Subcounty","YqM3WN8CBFs","Rakai DLG","QUHfWH97Buz","Rakai District","P8iz90eiIrW","South Buganda","IEU0FjDAhBP"
"Lyantonde Town Council Field Survey Station IF1ROM","If1Romo3DIE","Lyantonde Town Council","BSIgbcTVHu7","Lyantonde DLG","M98eBeKnZPU","Lyantonde District","aPRNSGUR3vk","South Buganda","IEU0FjDAhBP"
"Wakiso Subcounty Field Survey Station 015","Jc8DWb2FrCO","Wakiso Subcounty","UjUroihV9AC","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kasangati Town Council Field Survey Station 011","BtIXs83TAPF","Kasangati Town Council","oyIJV2TSFLe","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kasangati Town Council Field Survey Station 012","dLXyDcRDNJm","Kasangati Town Council","oyIJV2TSFLe","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bunamwaya Division Field Survey Station 014","u3SLVGPpWI8","Bunamwaya Division","aQbUr8vlhmm","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 032","Aw0BQqbf0Sf","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bweyogerere Division Field Survey Station 019","aA83SCEbTMx","Bweyogerere Division","RQ4bTHOso6m","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kajansi Town Council Field Survey Station 008","ShyOX3A5o1w","Kajansi Town Council","seX0YUndHIx","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 033","zwb8fZX8t9n","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Wakiso Subcounty Field Survey Station 016","g19wJ2hJuwv","Wakiso Subcounty","UjUroihV9AC","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 018","RADTqtjvhVC","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kakiri Town Council Field Survey Station 002","qAHR0fRuBVK","Kakiri Town Council","AMGnRJ8vefc","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nabweru Division Field Survey Station 014","uWwO5CRBG61","Nabweru Division","Qplf7b6Ktzu","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 019","l12WVX1mLGY","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 018","vQadMvAo4V5","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Lukaya Town Council Field Survey Station 002","HhdilSXYnqC","Lukaya Town Council","SGXPXHBPCyu","Kalungu DLG","JH7vmOjIRNq","Kalungu District","ahyi8Uq4vaj","South Buganda","IEU0FjDAhBP"
"Kiringente Subcounty Field Survey Station 002","d0xYRTXZSO2","Kiringente Subcounty","JN43iMJuuu0","Mpigi DLG","cloKnT9R95J","Mpigi District","YMMexeHFUay","South Buganda","IEU0FjDAhBP"
"Kalisizo Town Council Field Survey Station 001","YyjYWwXND9i","Kalisizo Town Council","TokOnAvsPI6","Kyotera DLG","xrMRirMjpsq","Kyotera District","REJuxCmTwXG","South Buganda","IEU0FjDAhBP"
"Masajja Division Field Survey Station 020","A0KeWapELXA","Masajja Division","MmY9teDWcvb","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Ndejje Division Field Survey Station 006","UNTbY4fTURQ","Ndejje Division","WcTXblqtAB7","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Division A Field Survey Station 011","XJR6YgkWSyU","Division A","RTxq0C3ff1y","Entebbe Municipality","RJVE5pzKeh5","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Kyengera Town Council Field Survey Station 012","Hbw5Cb6A3p2","Kyengera Town Council","z9UtbSArut7","Wakiso DLG","jzNvCTo4a6g","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Buwama Subcounty Field Survey Station 003","eL5xsx6v7Ep","Buwama Subcounty","hQ8aPoqFZbB","Mpigi DLG","cloKnT9R95J","Mpigi District","YMMexeHFUay","South Buganda","IEU0FjDAhBP"
"Bunamwaya Division Field Survey Station 015","lEpbJg4du2d","Bunamwaya Division","aQbUr8vlhmm","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 034","Y2Sy4LLLweE","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 035","ebR31J5axAE","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Ndejje Division Field Survey Station 007","FPUiq7usi9C","Ndejje Division","WcTXblqtAB7","Makindye Ssabagabo Municipality","SQWtI329oDj","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nabweru Division Field Survey Station 015","I9tmZdU2Yh5","Nabweru Division","Qplf7b6Ktzu","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 036","gnT8RNKF8AD","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 037","oeAl4pvVQJ6","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bubeke Subcounty Field Survey Station 002","azzeotS1e0O","Bubeke Subcounty","afDtaFFJy5U","Kalangala DLG","hkw7cymppi6","Kalangala District","JrHILmtK0OU","South Buganda","IEU0FjDAhBP"
"Kira Division Field Survey Station 019","TxcbN10jbh4","Kira Division","l0LizWT16CQ","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Bweyogerere Division Field Survey Station 020","JraJg0eMnqk","Bweyogerere Division","RQ4bTHOso6m","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Namugongo Division Field Survey Station 003","y19hhLtQvvl","Namugongo Division","H28DnZymL0Q","Kira Municipality","a82aPQm9ahJ","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
"Lwengo Town Council Field Survey Station 003","TEw3rzmSHrZ","Lwengo Town Council","P3WJNMdmdVa","Lwengo DLG","zWKcPsLNI6H","Lwengo District","aqpd0Y9eXZ2","South Buganda","IEU0FjDAhBP"
"Nansana Division Field Survey Station 038","oVbW1wyDLmu","Nansana Division","h7rS7d8M2jI","Nansana Municipality","Jh70HJqgBFh","Wakiso District","aIahLLmtvgT","South Buganda","IEU0FjDAhBP"
